id	VL_TOTAL_INVESTIMENTO_T0	RESTRICAO_INTERNA	RISCO	DS_ESTADO_CIVIL	ESCOLARIDADE	TEM_PRE_APROV_CDC	TIPO_CLIENTE	IDADE	QTDE_PRODUTOS_12M	SG_UF	CD_SEXO	VL_TOTL_REND	PERFIL	ALVO
174	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	50	5	SP	H	4828.99	TOMADOR	0
175	82779.9	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	65	12	SP	H	13480.62	INVESTIDOR	0
176	13132.9	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	ESPECIAL	71	6	SP	H	1773.44	INVESTIDOR	0
177	0	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	0	ESPECIAL	82	6	SP	H	2293.32	INVESTIDOR	0
178	14865.4	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	69	6	SP	M	2836	INVESTIDOR	0
179	0	0	MEDIO	SOLTEIRO	SUPERIOR	0	ESPECIAL	41	9	SP	M	3957.61	TOMADOR	0
180	0	0	BAIXO	VIUVO	ENSINO MEDIO	1	VIP	68	8	SP	M	4000	INVESTIDOR	0
181	0	0	BAIXO	NÃO INFORMADO	ENSINO FUNDAMENTAL	1	ESPECIAL	65	4	SP	H	1391.37	TOMADOR	0
182	0	0	BAIXO	SOLTEIRO	SUPERIOR	0	ESPECIAL	35	4	SP	H	456.33	INVESTIDOR	0
183	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	CLÁSSICO	54	2	SP	H	1200	INVESTIDOR	0
184	19991.7	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	42	11	SP	M	3757.91	INVESTIDOR	0
185	50123.2	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	VIP	54	7	SP	H	0	INVESTIDOR	0
186	0	0	BAIXO	DIVORCIADO	DOUTORADO	0	VIP	59	3	SP	H	9738.13	TOMADOR	0
187	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	CLÁSSICO	38	3	SP	H	1200	TOMADOR	0
188	0	0	BAIXO	SOLTEIRO	MESTRADO	1	ESPECIAL	52	3	SP	H	1977.82	INVESTIDOR	0
189	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	38	0	SP	H	13000		0
190	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	VIP	54	3	SP	H	10000	INVESTIDOR	0
191	0	1	MEDIO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	41	0	SP	H	1238.9		0
192	0	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	CLÁSSICO	42	3	SP	M	1200	INVESTIDOR	0
193	596.6	0	BAIXO	SOLTEIRO	ENSINO MEDIO	1	VIP	62	8	SP	M	4000	INVESTIDOR	0
194	0	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	ESPECIAL	72	6	AM	H	1868.76	TOMADOR	0
195	155.1	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	77	4	RJ	H	200	INVESTIDOR	0
196	0	0	MEDIO		NÃO INFORMADO	0	ESPECIAL	0	6	RJ	M	0	INVESTIDOR	0
197	62961.6	0	BAIXO	DIVORCIADO	SUPERIOR	1	VIP	52	10	RJ	M	3361.92	INVESTIDOR	0
198	62417.4	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	ESPECIAL	51	5	RJ	M	1000	INVESTIDOR	0
